1;2
2;3
3;4
4;5
5;6
6;7
7;8
8;9
9;10
10;11
11;12
12;13
13;14
14;15
15;16
16;17
17;18
18;19
19;20
20;21
21;22
22;23
23;24
24;25
25;26
26;27
27;28
28;29
29;30
30;31
31;32
32;33
33;34
34;35
35;36
36;37
37;38
38;39
39;40
40;41
41;42
42;43
43;44
44;45
45;46
46;47
47;1
46;2
45;3
44;4
43;5
42;6
41;7
40;8
39;9
38;10
37;11
36;12
35;13
34;14
33;15
32;16
31;17
30;18
29;19
28;20
27;21
26;22
25;23
24;24
23;25
22;26
21;27
20;28
19;29
18;30
17;31
16;32
15;33
14;34
13;35
12;36
11;37
10;38
9;39
8;40
7;41
6;42
5;43
4;44
3;45
2;46
1;47
